
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:60526        127.0.0.1:61686        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61688        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61689        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61690        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61691        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61692        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61694        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61695        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61696        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61697        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61698        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61701        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61702        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61703        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61704        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61708        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61712        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61719        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61720        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61721        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61722        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61725        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61726        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61728        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61729        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61733        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61734        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61735        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61738        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61739        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61740        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61742        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61743        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61745        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61746        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61747        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61781        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61782        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61783        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61784        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61789        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61790        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61791        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61799        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61800        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61801        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61802        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61803        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61808        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61809        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61810        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61811        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61812        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61838        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61840        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61841        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61842        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61848        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61849        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61850        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61855        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61856        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61857        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61862        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61863        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61864        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61873        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61874        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61875        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61876        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61877        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61880        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61881        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61882        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61883        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61884        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61887        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61888        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61890        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61891        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61892        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61896        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61897        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61898        TIME_WAIT       0
  TCP    127.0.0.1:60526        127.0.0.1:61899        TIME_WAIT       0
